File,ObjectsmL_gated,subBlank,Matrix,Spike,timePoint,t_h,ctrl
B3_MQ_t0.fcs,5.56E+02,0.00E+00,MQ,0,0,0,0
B4_MQs_t0.fcs,1.39E+02,0.00E+00,MQs,1,0,0,0
B5_ASW_t0.fcs,1.39E+02,0.00E+00,ASW,0,0,0,0
B6_ASWs_t0.fcs,2.78E+02,0.00E+00,ASWs,1,0,0,0
B7_VSW_t0.fcs,2.08E+02,0.00E+00,VSW,0,0,0,0
B8_VSWs_t0.fcs,6.94E+02,0.00E+00,VSWs,1,0,0,0
C3_ASWs_t1.fcs,6.25E+02,0.00E+00,ASWs,1,1,1,0
D3_VSWs_t1.fcs,2.73E+04,1.63E+04,VSWs,1,1,1,0
C4_ASWs_t2.fcs,7.59E+04,6.50E+04,ASWs,1,2,2,0
D4_VSWs_t2.fcs,6.71E+04,5.61E+04,VSWs,1,2,2,0
C5_ASWs_t3.fcs,7.19E+04,6.10E+04,ASWs,1,3,4,0
D5_VSWs_t3.fcs,6.17E+04,5.07E+04,VSWs,1,3,4,0
C6_ASWs_t4.fcs,6.08E+04,4.98E+04,ASWs,1,4,8,0
D6_VSWs_t4.fcs,5.52E+04,4.43E+04,VSWs,1,4,8,0
C7_ASWs_t5.fcs,6.91E+04,5.82E+04,ASWs,1,5,12,0
C8_ASWs_t5_ctrl.fcs,7.65E+04,6.56E+04,ASWs,1,5,12,1
C9_ASW_t5_ctrl.fcs,9.60E+04,8.51E+04,ASW,0,5,12,1
D7_VSWs_t5.fcs,8.40E+04,7.30E+04,VSWs,1,5,12,0
D8_VSWs_t5_ctrl.fcs,1.08E+05,9.70E+04,VSWs,1,5,12,1
D9_VSW_t5_ctrl.fcs,8.44E+04,7.35E+04,VSW,0,5,12,1
B2_MQb1.fcs,3.42E+02,0.00E+00,MQ,0,6,,
C2_MQb2.fcs,1.46E+03,0.00E+00,MQ,0,6,,
D2_MQb3.fcs,3.10E+04,2.01E+04,MQ,0,6,,
